ONE,TWO,THR,FOU,FIV,SIX,SEV,EIG,NIN,ASM,CON,ENG,IDM
100.9461214,87.44091304,123.5891138,27.04507418,50.86887458,51.09947358,36.45866936,56.30341639,57.55134079,0.061392004,1.622553662,3.418704582,0.775839667
113.449998,88.61798651,161.9019393,30.09362045,53.02461612,64.45707341,41.32759539,57.28915078,71.95176027,0.051563105,1.738675821,3.558084105,0.803061663
114.1334537,75.08553307,153.7170238,30.60256366,45.05586715,61.50455017,42.19240284,50.81285479,69.07174842,0.047122326,1.645675505,3.600495272,0.7989514
103.5779573,87.26094934,132.1658973,18.08082715,48.75401422,45.45072069,27.12009078,54.2454419,51.6123034,0.067575963,1.905145202,3.446767258,0.780326292
95.1417298,87.36206795,157.8960109,39.35830344,50.26799051,66.82761302,47.91953916,55.4285205,74.18099527,0.051745043,1.675820707,3.557077063,0.796844448
114.6207288,89.73102115,136.7492503,28.78844329,52.99319559,59.1134981,39.58266758,56.9362974,67.32711014,0.074495083,2.040956439,3.382706929,0.793845752
96.23619989,86.91425979,160.899493,36.41508761,52.7223205,64.54638093,45.88509755,57.72562758,71.92663938,0.043183488,1.946220013,3.682907224,0.78082777
114.6471946,88.67877012,129.9611151,27.68866633,48.83368159,56.2766371,38.08571249,53.54986991,64.68805179,0.075612118,1.752327967,3.295921438,0.79772805
104.3550643,89.88130327,173.6432588,35.07847984,53.19573432,64.28103412,45.31105859,57.60678486,71.32482827,0.04433431,2.092724116,3.711335483,0.783110539
100.0923295,91.12110361,179.5621449,33.64522378,58.10615362,68.23731175,43.0605537,62.42048394,75.89005287,0.037634146,2.63147096,3.848749873,0.771797522
101.3628078,93.9184521,178.5966008,37.66820231,62.56496331,63.0735259,48.45653493,66.89872701,69.89195417,0.062347636,2.513178662,3.523356728,0.786006462
105.9447009,89.52815262,167.167663,35.79929535,59.54764355,63.61251571,46.80233096,63.95227036,70.01970475,0.070093484,2.25457702,3.446737098,0.785440242
103.9490313,81.01630563,168.2482639,36.93267559,49.48056617,64.19287006,46.80969406,54.55718325,71.17083187,0.045624106,2.206163194,3.700500123,0.790547583
104.5957623,79.13498264,165.5316051,36.34160159,49.09209372,63.93885431,46.06837237,54.36184911,70.83705904,0.044170114,2.150607639,3.712650939,0.786348743
108.257053,99.79954822,183.1120975,29.57797321,63.72300438,67.76299572,40.37171456,68.12653593,75.37400259,0.056794197,2.832386364,3.644819043,0.781223864
113.0116694,91.75592842,179.9957485,30.11487096,57.09589986,67.37561485,40.27202321,61.17699312,74.88439941,0.040884565,2.463265467,3.831995606,0.763932968
98.61414931,95.30051491,166.9631964,34.93352909,54.03525268,65.69323681,43.96516587,58.78612759,73.05556983,0.039836527,2.14547822,3.777420026,0.752909859
114.2861427,88.09697562,127.0343474,30.04762331,51.25381118,59.11911805,40.30303487,55.52160772,68.71460882,0.079203957,1.940025253,3.287455098,0.799892251
103.7039635,93.66724866,175.5788352,35.67459979,56.8677046,64.85699489,45.53415467,60.97026616,72.00342455,0.044236193,2.256668245,3.750388302,0.773676156
105.0514323,92.55090949,174.1888711,34.46328565,55.4630704,64.355299,44.4180283,59.70231419,71.3585253,0.042764135,2.242069129,3.768305156,0.769434342
104.7694523,89.20156645,169.3347341,35.54199356,52.71848357,63.69494531,45.46065866,57.26592465,70.64502337,0.041866935,2.175426136,3.76423198,0.766393879
113.5266828,84.78796757,174.7532651,31.86872336,53.31378827,68.10235537,42.26208821,57.77429259,75.16745863,0.037916947,2.420809659,3.848828188,0.762791513
112.1585286,90.19548019,178.3812145,32.48735022,55.37229148,68.00424815,42.77476447,59.54549888,75.47637606,0.04227662,2.422664141,3.793692988,0.776843472
110.2957406,87.46063171,168.2856199,32.6093695,56.59776379,63.94143593,43.33460392,61.01987846,70.67983972,0.06479276,2.184738005,3.442193107,0.802992595
104.6318754,78.09823824,156.3816682,35.68873427,45.54513132,59.7844665,45.79772649,50.91333021,66.8583039,0.043554481,1.641335227,3.663178335,0.77717533
